epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.4209,1.16051,5.80304,0.02262,0.70099,0.75862,0.81266,0.54185,1.15564,1.25556,0.02952,0.0006625,0.0006625,0.0006625
2,91.5912,1.23387,1.39491,0.02329,0.80116,0.7931,0.86686,0.61068,1.07946,0.88093,0.02696,0.00132866,0.00132866,0.00132866
3,124.266,1.44911,1.15408,0.02758,0.82,0.88276,0.91551,0.59331,1.34715,0.69699,0.03467,0.00199279,0.00199279,0.00199279
4,156.859,1.39593,1.03639,0.02638,0.91693,0.83738,0.94862,0.66862,1.11142,0.62973,0.02752,0.00199314,0.00199314,0.00199314
5,190.147,1.23827,0.79973,0.02277,0.90933,0.82069,0.92062,0.66431,1.06297,0.63926,0.02672,0.00198781,0.00198781,0.00198781
6,222.644,1.23125,0.74061,0.02328,0.87566,0.92282,0.92951,0.50329,1.63274,0.62803,0.04754,0.00198098,0.00198098,0.00198098
7,255.134,1.22666,0.74277,0.02259,0.94464,0.96552,0.98347,0.7539,0.91761,0.38791,0.02274,0.00197265,0.00197265,0.00197265
8,287.991,1.18565,0.61544,0.02237,0.92158,0.95862,0.98515,0.76208,0.84078,0.38887,0.02003,0.00196283,0.00196283,0.00196283
9,327.81,1.13433,0.62244,0.02049,0.94127,0.92414,0.9806,0.75379,0.88142,0.37101,0.02149,0.00195155,0.00195155,0.00195155
10,366.534,1.06878,0.57449,0.01933,0.97835,0.93478,0.98758,0.77025,0.90849,0.34059,0.02184,0.00193881,0.00193881,0.00193881
11,400.92,1.12593,0.57912,0.021,0.95725,0.92648,0.97804,0.75434,0.90123,0.41748,0.02133,0.00192464,0.00192464,0.00192464
12,435.375,1.10169,0.53996,0.02076,0.96161,0.97241,0.98921,0.68309,1.20697,0.35765,0.03072,0.00190906,0.00190906,0.00190906
13,470.36,1.08508,0.49421,0.01894,0.98347,0.96552,0.98981,0.74679,0.97303,0.34953,0.02306,0.0018921,0.0018921,0.0018921
14,504.624,1.08179,0.51754,0.01905,0.98569,0.94993,0.99115,0.72975,1.03228,0.3384,0.02533,0.00187377,0.00187377,0.00187377
15,538.949,1.0367,0.49406,0.01847,0.97631,0.93793,0.98927,0.78141,0.83182,0.31172,0.02017,0.00185411,0.00185411,0.00185411
16,573.412,0.99407,0.43874,0.01802,0.96896,0.97241,0.98989,0.77812,0.80659,0.30871,0.01914,0.00183315,0.00183315,0.00183315
17,607.65,1.00843,0.48008,0.01768,0.93859,0.94866,0.98497,0.79641,0.77018,0.32375,0.01838,0.00181093,0.00181093,0.00181093
18,642.535,1.02852,0.47887,0.01811,0.99294,0.96987,0.99319,0.73351,0.98829,0.35094,0.02474,0.00178746,0.00178746,0.00178746
19,676.311,0.97683,0.43532,0.01765,0.98618,0.98425,0.99413,0.78521,0.82327,0.26029,0.02014,0.0017628,0.0017628,0.0017628
20,709.825,0.99535,0.42697,0.01748,0.96549,0.96481,0.99153,0.78254,0.85082,0.30723,0.02027,0.00173698,0.00173698,0.00173698
21,741.767,0.98573,0.44196,0.01767,0.97578,0.95172,0.9918,0.81719,0.7412,0.2737,0.01787,0.00171004,0.00171004,0.00171004
22,774.109,0.93741,0.46932,0.01709,0.99265,0.93083,0.98792,0.80405,0.76509,0.31873,0.01824,0.00168201,0.00168201,0.00168201
23,806.421,0.92639,0.42727,0.01623,0.9536,0.99212,0.99153,0.80227,0.73916,0.24316,0.0179,0.00165295,0.00165295,0.00165295
24,838.28,0.93628,0.3833,0.01662,0.96536,0.96113,0.98902,0.75987,0.85005,0.29813,0.02076,0.0016229,0.0016229,0.0016229
25,870.129,0.9416,0.39313,0.01659,0.99004,0.95172,0.99183,0.77527,0.88275,0.27578,0.0222,0.00159191,0.00159191,0.00159191
26,902.494,0.89923,0.41016,0.01612,0.99845,0.9931,0.995,0.79572,0.80059,0.23358,0.01946,0.00156001,0.00156001,0.00156001
27,935.706,0.88691,0.37547,0.01606,0.979,0.9646,0.99332,0.82576,0.70727,0.24413,0.01673,0.00152727,0.00152727,0.00152727
28,970.347,0.89058,0.39343,0.01578,0.95004,0.97241,0.99045,0.78883,0.78281,0.27145,0.01819,0.00149374,0.00149374,0.00149374
29,1005.6,0.85995,0.3734,0.01488,0.95272,0.9931,0.99206,0.76237,0.91735,0.28994,0.022,0.00145945,0.00145945,0.00145945
30,1040.17,0.91617,0.39851,0.01623,0.97766,0.97931,0.99372,0.79134,0.79278,0.25466,0.0193,0.00142447,0.00142447,0.00142447
31,1075.69,0.82617,0.38136,0.01433,0.98376,0.9931,0.99473,0.77214,0.85924,0.24154,0.0209,0.00138886,0.00138886,0.00138886
